,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
13,5.9,4.79,4.31,7.93,7.85,6.93,4.9,7.52,8.32,1.79,2.4,1.67,0.0,9.56,5.42,7.12,5.54,8.87,7.0,2.36,6.56,7.13,10.17,6.96,6.07,4.98,7.22,1.25,1.6,7.04,5.59,5.21,0.85,2.81,6.66,6.46,4.67,2.32,6.33,7.08,4.43,7.81,6.59,7.5,10.42,8.95,8.07,3.18,2.97,1.78,2.16,5.16,4.41,9.17,9.79,7.54,9.35,10.05,1.95,11.93
14,7.12,13.37,12.23,13.24,15.77,14.85,8.3,15.44,16.23,10.4,8.05,9.17,9.29,0.0,7.01,3.74,9.6,14.24,10.7,11.29,14.48,15.04,16.13,10.64,5.57,13.55,15.14,9.43,9.01,4.95,13.5,13.12,9.39,9.39,10.34,7.67,6.82,10.23,14.25,14.99,12.34,15.94,15.16,2.73,1.67,1.45,14.85,8.32,11.54,11.06,10.07,13.07,12.33,16.72,17.7,8.18,12.74,16.78,8.33,3.79
15,1.76,8.37,7.04,9.23,10.77,9.85,3.25,10.44,11.23,5.4,3.05,4.17,4.29,6.2,0.0,3.76,4.56,10.24,6.84,6.29,9.48,10.04,12.29,6.8,3.01,8.55,10.14,4.42,4.01,2.96,8.5,8.12,4.39,4.16,6.51,3.96,1.74,5.23,9.25,9.99,7.34,11.39,10.16,4.14,7.07,5.59,10.47,2.94,6.54,6.06,5.07,7.9,7.33,12.08,12.7,4.47,9.03,12.95,3.33,8.57
16,3.38,10.61,8.85,9.54,13.01,12.09,4.73,12.68,13.48,7.65,5.3,6.42,6.53,3.5,4.08,0.0,6.04,10.54,7.0,8.53,11.72,12.29,12.43,6.94,1.9,10.8,12.38,6.67,6.25,1.2,10.75,10.36,6.64,6.17,6.64,3.97,3.25,7.47,11.49,12.23,9.59,13.63,12.4,1.48,4.36,2.94,11.15,4.75,8.79,8.3,7.32,9.72,9.33,13.02,14.01,4.48,9.04,13.08,5.57,5.86
17,5.19,9.86,7.19,5.68,10.02,9.24,1.83,11.54,12.28,6.9,4.42,4.99,5.78,9.67,5.39,6.2,0.0,6.67,3.13,7.79,10.49,10.17,8.56,3.07,4.48,10.05,11.23,5.92,5.43,5.42,9.08,8.7,5.89,4.51,2.78,2.23,3.79,5.81,10.74,8.91,8.84,12.88,11.66,7.63,10.36,8.75,7.28,3.1,8.04,7.56,6.57,7.56,7.67,9.15,10.14,3.43,5.05,9.22,5.07,12.06
18,9.55,10.53,5.8,2.03,5.86,3.06,7.52,7.02,7.8,8.42,7.6,7.16,8.22,14.12,9.75,10.66,6.45,0.0,6.02,9.3,5.11,4.86,4.64,3.72,8.94,9.65,6.72,8.47,8.05,9.87,4.7,4.32,8.2,6.88,4.39,6.69,8.14,6.4,6.29,3.53,8.43,13.55,12.32,12.08,14.82,13.21,1.1,6.89,8.77,9.44,8.09,6.55,5.33,5.03,6.02,7.89,8.1,5.09,7.69,16.52
19,6.6,10.6,6.79,4.46,8.39,8.02,3.74,10.5,11.42,7.64,5.91,5.47,6.52,10.35,6.8,6.88,2.67,5.46,0.0,8.52,8.85,8.6,6.93,1.86,5.16,10.79,10.2,6.66,6.36,6.1,8.22,7.84,6.5,5.29,1.2,2.92,5.27,6.25,9.91,7.27,9.58,13.62,12.4,8.31,11.05,9.43,6.07,5.01,8.78,8.17,7.31,6.69,7.27,7.52,8.51,4.12,2.73,7.58,6.0,12.74
20,7.82,4.34,4.9,8.97,8.09,7.52,6.81,7.76,8.9,1.39,4.41,3.58,2.36,11.57,7.43,9.12,7.45,9.46,8.91,0.0,6.8,7.43,10.41,8.09,7.99,4.78,7.46,3.21,3.61,8.96,5.87,5.79,2.66,4.73,8.32,8.37,6.58,3.36,6.92,7.66,5.01,7.06,6.39,9.5,12.43,10.96,8.66,5.1,2.77,1.48,2.13,5.74,5.0,9.41,10.03,9.46,11.27,10.64,3.96,13.94
21,11.49,8.63,4.42,6.0,2.74,2.73,10.2,3.45,4.96,6.46,9.32,8.39,7.42,16.5,11.68,13.24,9.12,5.15,8.31,7.37,0.0,0.86,4.96,7.13,11.49,7.75,3.15,7.45,8.71,12.46,2.29,2.22,8.26,8.44,7.77,9.37,10.02,7.39,4.31,2.1,6.53,11.65,10.42,14.44,16.45,15.65,4.45,8.52,6.87,7.88,6.34,5.14,3.94,3.48,4.46,10.57,10.39,4.29,9.06,16.76
22,11.55,8.69,4.48,6.06,2.76,2.79,10.21,4.01,5.52,6.79,9.38,8.91,7.94,16.56,11.74,13.3,9.14,5.16,8.33,7.7,1.34,0.0,4.98,7.14,11.54,7.81,3.71,7.97,9.24,12.51,2.65,2.28,8.79,8.5,7.78,9.38,10.08,7.82,4.37,2.16,6.59,11.71,10.49,14.5,16.97,15.7,4.51,8.58,6.93,8.2,6.87,5.2,4.0,3.49,4.48,10.58,10.41,4.31,9.47,17.28
